"wbid","period","year","masterCode","lmean","geo_mean"
"3226G3","2009-2016",2009,"TN",-0.762882043732329,0.466320532310419
"3226G3","2009-2016",2009,"TP",-3.72006486078199,0.0242323960625599
"3226G3","2009-2016",2010,"CHLAC",0.363487528102876,1.43833691800333
"3226G3","2009-2016",2010,"NO3O2",-2.54393910451018,0.0785563478639401
"3226G3","2009-2016",2010,"TKN",-0.864409160190204,0.421300400153863
"3226G3","2009-2016",2010,"TN",-0.683340641690125,0.504927390268883
"3226G3","2009-2016",2010,"TP",-3.58816255974344,0.0276490873236886
"3226G3","2009-2016",2011,"CHLAC",0.290694761299657,1.33735630874093
"3226G3","2009-2016",2011,"NO3O2",-3.29562467182263,0.0370448969146843
"3226G3","2009-2016",2011,"TKN",-1.43986192881148,0.236960473837814
"3226G3","2009-2016",2011,"TN",-1.3184605697454,0.267546854828956
"3226G3","2009-2016",2011,"TP",-3.46372702241688,0.0313128406104654
"3226G3","2009-2016",2012,"CHLAC",0.525312360056418,1.69098696267696
"3226G3","2009-2016",2012,"NO3O2",-3.44870528921698,0.0317867644145115
"3226G3","2009-2016",2012,"TKN",-1.53011969228467,0.216509751218283
"3226G3","2009-2016",2012,"TN",-1.38133061581507,0.251244021274322
"3226G3","2009-2016",2012,"TP",-3.41730991405653,0.0328005526694207
"3226G3","2009-2016",2013,"CHLAC",0.539385366999977,1.71495247180385
"3226G3","2009-2016",2013,"NO3O2",-3.75692130260675,0.0233555344250642
"3226G3","2009-2016",2013,"TKN",-1.92642451890392,0.145668102022196
"3226G3","2009-2016",2013,"TN",-1.73423119985123,0.176535868930919
"3226G3","2009-2016",2013,"TP",-3.19497733613963,0.0409674538462152
"3226G3","2009-2016",2014,"CHLAC",0.718870006198664,2.05211302499519
"3226G3","2009-2016",2014,"NO3O2",NA,NA
"3226G3","2009-2016",2014,"TKN",NA,NA
"3226G3","2009-2016",2014,"TN",NA,NA
"3226G3","2009-2016",2014,"TP",NA,NA
"3226G3","2009-2016",2015,"CHLAC",0.362935803248732,1.43754357065189
"3226G3","2009-2016",2015,"NO3O2",-4.2488078357168,0.0142812493597839
"3226G3","2009-2016",2015,"TKN",-1.76380227739145,0.171391943605534
"3226G3","2009-2016",2015,"TN",-1.47622244492113,0.228499228522864
"3226G3","2009-2016",2015,"TP",-3.76914321382911,0.0230718224397361
"3226G3","2017-2023",2016,"CHLAC",0.677791081001472,1.96952240825681
"3226G3","2017-2023",2016,"NO3O2",-2.48396382447859,0.0834119391590755
"3226G3","2017-2023",2016,"TKN",-1.0532240179542,0.348811360249794
"3226G3","2017-2023",2016,"TN",-0.757946539017184,0.468627748450982
"3226G3","2017-2023",2016,"TP",-1.99602078039319,0.135874884933975
"3226G3","2017-2023",2017,"CHLAC",0.660255740550295,1.93528720253456
"3226G3","2017-2023",2017,"NO3O2",-3.94465250570119,0.0193579419755283
"3226G3","2017-2023",2017,"TKN",-2.35007914909832,0.0953616141310688
"3226G3","2017-2023",2017,"TN",-2.35007914909832,0.0953616141310688
"3226G3","2017-2023",2017,"TP",-4.9242077614529,0.00726848237132855
"3226G3","2017-2023",2018,"CHLAC",0.200534663023405,1.22205597166063
"3226G3","2017-2023",2018,"NO3O2",-2.99414539018683,0.0500794071566426
"3226G3","2017-2023",2018,"TKN",-1.66918533838519,0.188400485781489
"3226G3","2017-2023",2018,"TN",-1.71805717851987,0.179414379636522
"3226G3","2017-2023",2018,"TP",-1.62845420818477,0.196232674663767
"3226G3","2017-2023",2019,"CHLAC",0.482011112017377,1.61932777920037
"3226G3","2017-2023",2019,"NO3O2",-2.62823121697885,0.0722060662175716
"3226G3","2017-2023",2019,"TKN",-2.07770410967462,0.125217367776838
"3226G3","2017-2023",2019,"TN",-1.66271518672333,0.189623417508253
"3226G3","2017-2023",2019,"TP",-2.06129100662917,0.127289532142726
"3226G3","2017-2023",2020,"CHLAC",0.675049561491848,1.96413031878638
"3226G3","2017-2023",2020,"NO3O2",-2.59713872053296,0.0744864000047351
"3226G3","2017-2023",2020,"TKN",-1.80031784223681,0.165246357601878
"3226G3","2017-2023",2020,"TN",-1.36979261996247,0.254159661728109
"3226G3","2017-2023",2020,"TP",-2.34959653893257,0.0954076477227168
"3226G3","2017-2023",2021,"CHLAC",0.384557668033011,1.46896440779701
"3226G3","2017-2023",2021,"NO3O2",-3.60666924128523,0.0271421002637571
"3226G3","2017-2023",2021,"TKN",-1.69127162763028,0.18428503299217
"3226G3","2017-2023",2021,"TN",-1.47993011198057,0.227653598086944
"3226G3","2017-2023",2021,"TP",-2.16475143345103,0.114778461137741
"3226G3","2017-2023",2022,"CHLAC",0.331644844524775,1.39325793744765
"3226G3","2017-2023",2022,"NO3O2",-4.11933397828676,0.0162553372450001
"3226G3","2017-2023",2022,"TKN",-1.45207370160254,0.234084363317097
"3226G3","2017-2023",2022,"TN",-1.35114490962046,0.258943623821047
"3226G3","2017-2023",2022,"TP",-1.78685715122668,0.167485725670394
"3226G3","2017-2023",2023,"CHLAC",1.04319307429468,2.83826535279474
"3226G3","2017-2023",2023,"NO3O2",-3.37632420930626,0.0341728363489701
"3226G3","2017-2023",2023,"TKN",-1.37059317196451,0.253956275123714
"3226G3","2017-2023",2023,"TN",-1.19434174981091,0.302903274711412
"3226G3","2017-2023",2023,"TP",-3.33005623350456,0.0357910923525097
"3226G3","Pre 1995",1969,"CHLAC",NA,NA
"3226G3","Pre 1995",1969,"NO3O2",-3.60275084705976,0.0272486623524899
"3226G3","Pre 1995",1969,"TKN",NA,NA
"3226G3","Pre 1995",1969,"TN",NA,NA
"3226G3","Pre 1995",1969,"TP",-2.10106531524453,0.122326043016195
"3226G3","Pre 1995",1971,"CHLAC",NA,NA
"3226G3","Pre 1995",1971,"NO3O2",-2.86190092592047,0.05716
"3226G3","Pre 1995",1971,"TKN",NA,NA
"3226G3","Pre 1995",1971,"TN",NA,NA
"3226G3","Pre 1995",1971,"TP",-2.76390018489625,0.0630453995149527
"3226G3","Pre 1995",1977,"CHLAC",NA,NA
"3226G3","Pre 1995",1977,"NO3O2",-2.17655833289224,0.113431252219546
"3226G3","Pre 1995",1977,"TKN",NA,NA
"3226G3","Pre 1995",1977,"TN",NA,NA
"3226G3","Pre 1995",1977,"TP",-2.93659207088392,0.0530461987343729
"3226G3","Pre 1995",1978,"CHLAC",NA,NA
"3226G3","Pre 1995",1978,"NO3O2",-2.10125894480229,0.122302359371584
"3226G3","Pre 1995",1978,"TKN",-0.678451645078591,0.507402022875079
"3226G3","Pre 1995",1978,"TN",-0.447604851013165,0.639157196457224
"3226G3","Pre 1995",1978,"TP",-2.75473048414327,0.0636261656186527
"3226G3","Pre 1995",1979,"CHLAC",NA,NA
"3226G3","Pre 1995",1979,"NO3O2",-2.93417572903235,0.0531745314698801
"3226G3","Pre 1995",1979,"TKN",-0.394428663120746,0.674065047474334
"3226G3","Pre 1995",1979,"TN",-0.284183402675416,0.752628597949052
"3226G3","Pre 1995",1979,"TP",-3.12411948257234,0.0439756378965735
"3226G3","Pre 1995",1980,"CHLAC",NA,NA
"3226G3","Pre 1995",1980,"NO3O2",-1.87870908228932,0.152787214224913
"3226G3","Pre 1995",1980,"TKN",-0.638352707975764,0.528161744463332
"3226G3","Pre 1995",1980,"TN",-0.379602148797031,0.684133538426553
"3226G3","Pre 1995",1980,"TP",-3.40101033326259,0.0333395688631404
"3226G3","Pre 1995",1981,"CHLAC",NA,NA
"3226G3","Pre 1995",1981,"NO3O2",-2.41124334224541,0.0897036928161884
"3226G3","Pre 1995",1981,"TKN",-1.23961962668136,0.289494312911656
"3226G3","Pre 1995",1981,"TN",-0.93066717797239,0.394290560620736
"3226G3","Pre 1995",1981,"TP",-3.51864372217632,0.0296396074616412
"3226G3","Pre 1995",1982,"CHLAC",NA,NA
"3226G3","Pre 1995",1982,"NO3O2",-2.29593276666423,0.100667450219905
"3226G3","Pre 1995",1982,"TKN",-1.26509077711518,0.282213676434287
"3226G3","Pre 1995",1982,"TN",-0.934467096733954,0.392795131575791
"3226G3","Pre 1995",1982,"TP",-3.56255636097126,0.0283662176570805
"3226G3","Pre 1995",1983,"CHLAC",NA,NA
"3226G3","Pre 1995",1983,"NO3O2",-2.51006403687987,0.0812630352430439
"3226G3","Pre 1995",1983,"TKN",-0.9348496589264,0.392644891748944
"3226G3","Pre 1995",1983,"TN",-0.705559677760161,0.493832110048676
"3226G3","Pre 1995",1983,"TP",-3.34351995597219,0.0353124404668225
"3226G3","Pre 1995",1984,"CHLAC",NA,NA
"3226G3","Pre 1995",1984,"NO3O2",-2.70151771424132,0.0671035913393143
"3226G3","Pre 1995",1984,"TKN",-1.41764762700393,0.242283287729311
"3226G3","Pre 1995",1984,"TN",-1.11012180877227,0.329518820347546
"3226G3","Pre 1995",1984,"TP",-3.72170940832302,0.0241925774859473
"3226G3","Pre 1995",1985,"CHLAC",NA,NA
"3226G3","Pre 1995",1985,"NO3O2",-2.66046135157342,0.0699159584654254
"3226G3","Pre 1995",1985,"TKN",-0.661787605441775,0.515928233549524
"3226G3","Pre 1995",1985,"TN",-0.493919578440198,0.610229856754281
"3226G3","Pre 1995",1985,"TP",-3.53728244994176,0.0290922794808577
"3226G3","Pre 1995",1986,"CHLAC",NA,NA
"3226G3","Pre 1995",1986,"NO3O2",-3.3701523407185,0.0343843988004426
"3226G3","Pre 1995",1986,"TKN",-1.00926066236167,0.364488359940967
"3226G3","Pre 1995",1986,"TN",-0.887438720008392,0.411708905248781
"3226G3","Pre 1995",1986,"TP",-3.5385660962564,0.0290549592416359
"3226G3","Pre 1995",1987,"CHLAC",0.837175343084119,2.30983326686905
"3226G3","Pre 1995",1987,"NO3O2",-3.03464311036176,0.0480918232866418
"3226G3","Pre 1995",1987,"TKN",-0.900871707858119,0.406215404199432
"3226G3","Pre 1995",1987,"TN",-0.762650686182079,0.466428431567579
"3226G3","Pre 1995",1987,"TP",-3.70999947003013,0.0244775362440058
"3226G3","Pre 1995",1988,"CHLAC",0.266833321432664,1.30582277552121
"3226G3","Pre 1995",1988,"NO3O2",-3.30948384294345,0.0365350266996235
"3226G3","Pre 1995",1988,"TKN",-0.743549352447887,0.475423471841934
"3226G3","Pre 1995",1988,"TN",-0.655321162080959,0.519275264279369
"3226G3","Pre 1995",1988,"TP",-3.71106508325666,0.0244514665502035
"3226G3","Pre 1995",1989,"CHLAC",0.129392340518791,1.13813657367366
"3226G3","Pre 1995",1989,"NO3O2",-3.40032147776787,0.0333625429203375
"3226G3","Pre 1995",1989,"TKN",-0.487192600615018,0.614348697612272
"3226G3","Pre 1995",1989,"TN",-0.403706871619915,0.667839855394882
"3226G3","Pre 1995",1989,"TP",-3.44039477095376,0.0320520296196693
"3226G3","Pre 1995",1990,"CHLAC",NA,NA
"3226G3","Pre 1995",1990,"NO3O2",-3.56778170727512,0.0282183809319152
"3226G3","Pre 1995",1990,"TKN",-0.428268025524002,0.651636736112949
"3226G3","Pre 1995",1990,"TN",-0.356355079359773,0.700223941018762
"3226G3","Pre 1995",1990,"TP",-3.80861712537414,0.0221788282989403
"3226G3","Pre 1995",1991,"CHLAC",NA,NA
"3226G3","Pre 1995",1991,"NO3O2",-2.86897624113861,0.0567570023310747
"3226G3","Pre 1995",1991,"TKN",-0.765589584627741,0.465059658103324
"3226G3","Pre 1995",1991,"TN",-0.765589584627741,0.465059658103324
"3226G3","Pre 1995",1991,"TP",-3.37178305321573,0.0343283734246647
"3226G3","Pre 1995",1992,"CHLAC",1.81245491441887,6.12546648544009
"3226G3","Pre 1995",1992,"NO3O2",-3.31255327690537,0.0364230567779219
"3226G3","Pre 1995",1992,"TKN",-0.00945443750272414,0.990590115174137
"3226G3","Pre 1995",1992,"TN",-0.00945443750272414,0.990590115174137
"3226G3","Pre 1995",1992,"TP",-2.89748975745707,0.0551615151887843
"3226G3","Pre 1995",1993,"CHLAC",NA,NA
"3226G3","Pre 1995",1993,"NO3O2",-3.19945779359225,0.0407843114994355
"3226G3","Pre 1995",1993,"TKN",-1.35905111249905,0.256904434740423
"3226G3","Pre 1995",1993,"TN",-0.764453358752081,0.465588371232475
"3226G3","Pre 1995",1993,"TP",-4.13895861315332,0.0159394419896873
"3226G3","Pre 1995",1994,"CHLAC",NA,NA
"3226G3","Pre 1995",1994,"NO3O2",-3.04941026246235,0.047386861963705
"3226G3","Pre 1995",1994,"TKN",-0.456655405958045,0.633398567833264
"3226G3","Pre 1995",1994,"TN",-0.314036648367703,0.730492256320042
"3226G3","Pre 1995",1994,"TP",-4.04718272380603,0.0174715274868705
"3226H1","1995-2008",1995,"CHLAC",1.51355640414491,4.5428583395099
"3226H1","1995-2008",1995,"NO3O2",-Inf,0
"3226H1","1995-2008",1995,"TKN",0,1
"3226H1","1995-2008",1995,"TN",0,1
"3226H1","1995-2008",1995,"TP",-Inf,0
"3226H1","1995-2008",1996,"CHLAC",0.947566013742018,2.57942373057333
"3226H1","1995-2008",1996,"NO3O2",-3.02740944735504,0.0484409645925246
"3226H1","1995-2008",1996,"TKN",0,1
"3226H1","1995-2008",1996,"TN",0,1
"3226H1","1995-2008",1996,"TP",-5.29355548221477,0.00502386620061149
"3226H1","1995-2008",1997,"CHLAC",1.24857577692124,3.48537546871478
"3226H1","1995-2008",1997,"NO3O2",-2.90165565584842,0.0549321959134422
"3226H1","1995-2008",1997,"TKN",NA,NA
"3226H1","1995-2008",1997,"TN",NA,NA
"3226H1","1995-2008",1997,"TP",-5.92549931324203,0.00267047394924579
"3226H1","1995-2008",1998,"CHLAC",0.938885566280886,2.55713007782649
"3226H1","1995-2008",1998,"NO3O2",-2.96035631133271,0.0518004567943046
"3226H1","1995-2008",1998,"TKN",NA,NA
"3226H1","1995-2008",1998,"TN",NA,NA
"3226H1","1995-2008",1998,"TP",-5.61916190436351,0.00362768017820047
"3226H1","1995-2008",1999,"CHLAC",1.36349493818895,3.90983407950994
"3226H1","1995-2008",1999,"NO3O2",-2.70041116395312,0.0671778859354226
"3226H1","1995-2008",1999,"TKN",NA,NA
"3226H1","1995-2008",1999,"TN",NA,NA
"3226H1","1995-2008",1999,"TP",-5.7359177963962,0.0032279184365018
"3226H1","1995-2008",2000,"CHLAC",1.14298065617575,3.13610209002599
"3226H1","1995-2008",2000,"NO3O2",-3.74580560686054,0.0236165956904954
"3226H1","1995-2008",2000,"TKN",NA,NA
"3226H1","1995-2008",2000,"TN",NA,NA
"3226H1","1995-2008",2000,"TP",-5.39932143136429,0.00451964679285823
"3226H1","1995-2008",2001,"CHLAC",1.10853469868859,3.02991540105799
"3226H1","1995-2008",2001,"NO3O2",-3.22337223797505,0.0398205472249746
"3226H1","1995-2008",2001,"TKN",NA,NA
"3226H1","1995-2008",2001,"TN",NA,NA
"3226H1","1995-2008",2001,"TP",-5.58969745650566,0.00373615804402531
"3226H1","1995-2008",2002,"CHLAC",0.842379569962304,2.32188549730957
"3226H1","1995-2008",2002,"NO3O2",-3.3920174064812,0.0336407413461765
"3226H1","1995-2008",2002,"TKN",NA,NA
"3226H1","1995-2008",2002,"TN",NA,NA
"3226H1","1995-2008",2002,"TP",-5.71423938869973,0.00329865856469057
"3226H1","1995-2008",2003,"CHLAC",1.19363861583188,3.29906341921791
"3226H1","1995-2008",2003,"NO3O2",-2.95414397734484,0.0521232601756796
"3226H1","1995-2008",2003,"TKN",NA,NA
"3226H1","1995-2008",2003,"TN",NA,NA
"3226H1","1995-2008",2003,"TP",-5.63613346493464,0.00356663228861598
"3226H1","1995-2008",2004,"CHLAC",0.362067239054877,1.43629551386649
"3226H1","1995-2008",2004,"NO3O2",-3.45591033017248,0.0315585625641133
"3226H1","1995-2008",2004,"TKN",NA,NA
"3226H1","1995-2008",2004,"TN",NA,NA
"3226H1","1995-2008",2004,"TP",-5.28687096930271,0.00505756078959176
"3226H1","1995-2008",2005,"CHLAC",1.47008664499383,4.34961199684081
"3226H1","1995-2008",2005,"NO3O2",-3.38089989883513,0.0340168292517294
"3226H1","1995-2008",2005,"TKN",NA,NA
"3226H1","1995-2008",2005,"TN",NA,NA
"3226H1","1995-2008",2005,"TP",-6.53574901543703,0.00145064206742672
"3226H1","1995-2008",2006,"CHLAC",NA,NA
"3226H1","1995-2008",2006,"NO3O2",-3.81638361556551,0.0220072438135856
"3226H1","1995-2008",2006,"TKN",NA,NA
"3226H1","1995-2008",2006,"TN",NA,NA
"3226H1","1995-2008",2006,"TP",-6.04036207420451,0.00238069676865737
"3226H1","1995-2008",2007,"CHLAC",1.29890424284674,3.6652782115763
"3226H1","1995-2008",2007,"NO3O2",-3.22481667492432,0.0397630704759862
"3226H1","1995-2008",2007,"TKN",NA,NA
"3226H1","1995-2008",2007,"TN",NA,NA
"3226H1","1995-2008",2007,"TP",-6.33539921216496,0.00177243811848437
"3226H1","1995-2008",2008,"CHLAC",1.34793356677519,3.84946264863371
"3226H1","1995-2008",2008,"NO3O2",-3.45420743608099,0.0316123492373458
"3226H1","1995-2008",2008,"TKN",-0.555848764108383,0.573585215987999
"3226H1","1995-2008",2008,"TN",-0.269612549143844,0.763675323681471
"3226H1","1995-2008",2008,"TP",-6.50643263968619,0.00149379914906472
"3226H1","2009-2016",2009,"CHLAC",0.525307706314738,1.69097909327876
"3226H1","2009-2016",2009,"NO3O2",-3.43227946245997,0.0323132000337748
"3226H1","2009-2016",2009,"TKN",-1.41841994059144,0.24209624129272
"3226H1","2009-2016",2009,"TN",-1.18237873481583,0.306548672628378
"3226H1","2009-2016",2009,"TP",-6.11031042382156,0.00221986160790736
"3226H1","2009-2016",2010,"CHLAC",1.32179344243977,3.75014101186663
"3226H1","2009-2016",2010,"NO3O2",-2.56950168361846,0.0765736938441682
"3226H1","2009-2016",2010,"TKN",-1.01459630640136,0.362548758907614
"3226H1","2009-2016",2010,"TN",-0.751421798108305,0.471695420090526
"3226H1","2009-2016",2010,"TP",-5.79762853338858,0.00303474301036513
